ISP & Location, Address, Download, Unit
China Telecom - 中国 北京, 36.110.9.150, 1004.68, KB
Chunghwa Telecom - 中国 台中, 211.72.35.110, 937.50, KB
NOVA - 中国 深圳, 210.75.24.222, 710.26, KB
NOVA - 中国 深圳, 210.75.24.220, 479.86, KB
UCloud - 中国 香港, 165.154.27.29, 443.61, KB
Tencent Cloud - 中国 香港, 101.32.208.182, 394.56, KB
China Telecom - 中国 北京, 220.181.39.222, 379.60, KB
21Vianet - 中国 上海, 211.148.23.218, 298.59, KB
HKT - 中国 香港, 219.76.13.181, 221.75, KB
Microsoft Azure - 中国 香港, 20.205.96.65, 178.02, KB
Alibaba Cloud - 中国 香港, 47.57.245.232, 175.88, KB
Chunghwa Telecom - 中国 彰化, 220.130.80.179, 172.67, KB
Chunghwa Telecom - 中国 台中, 211.72.35.119, 170.57, KB
Alibaba Cloud - 中国 香港, 47.57.2.202, 159.93, KB
Chunghwa Telecom - 中国 彰化, 60.249.92.67, 144.96, KB
Huawei Cloud - 中国 香港, 119.12.173.19, 142.50, KB
China Unicom - 中国 武汉, 119.36.161.40, 115.08, KB
Chunghwa Telecom - 中国 台中, 211.22.184.186, 108.73, KB
HKT - 中国 香港, 219.76.13.180, 57.53, KB
UCloud - 中国 香港, 152.32.131.107, 38.33, KB
Aryaka Networks - 中国 香港, 167.179.32.53, 28.65, KB
Tencent Cloud - 中国 香港, 43.154.133.130, 22.98, KB
Aryaka Networks - 中国 香港, 159.100.206.88, 15.85, KB
UCloud - 中国 香港, 123.58.212.234, 14.10, KB
Tencent Cloud - 中国 香港, 43.128.9.149, 13.28, KB
UCloud - 中国 香港, 101.36.116.40, 9.84, KB
China Telecom - 中国 郑州, 1.194.235.74, 6.33, KB
CTM - 中国 澳门, 45.64.22.55, 1.15, MB
